book_theater_id,cine_theater_id
book_00509,cinePOS_01261
book_00063,cinePOS_02467
book_00054,cinePOS_08923
book_00094,cinePOS_02479
book_00052,cinePOS_06750
book_00207,cinePOS_02387
book_00202,cinePOS_00923
book_00751,cinePOS_05736
book_00111,cinePOS_02033
book_00289,cinePOS_06611
book_00522,cinePOS_02320
book_00453,cinePOS_02128
book_00515,cinePOS_06321
book_00102,cinePOS_03545
book_00304,cinePOS_09162
book_00209,cinePOS_01816
book_00064,cinePOS_04691
book_00057,cinePOS_03238
book_00778,cinePOS_10107
book_00516,cinePOS_01461
book_00684,cinePOS_07840
book_00389,cinePOS_12246
book_00089,cinePOS_06955
book_00484,cinePOS_07738
book_00213,cinePOS_04853
book_00047,cinePOS_05233
book_00388,cinePOS_10156
book_00735,cinePOS_02716
book_00035,cinePOS_02972
book_00794,cinePOS_01724
book_00358,cinePOS_04312
book_00481,cinePOS_05112
book_00365,cinePOS_07051
book_00060,cinePOS_04532
book_00182,cinePOS_06621
book_00068,cinePOS_04293
book_00088,cinePOS_00383
book_00092,cinePOS_03197
book_00510,cinePOS_01268
book_00382,cinePOS_09488
book_00049,cinePOS_03557
book_00116,cinePOS_01007
book_00097,cinePOS_08734
book_00212,cinePOS_09071
book_00219,cinePOS_06590
book_00364,cinePOS_01697
book_00526,cinePOS_06615
book_00070,cinePOS_00366
book_00521,cinePOS_01610
book_00555,cinePOS_12312
book_00740,cinePOS_08480
book_00123,cinePOS_02407
book_00309,cinePOS_07044
book_00371,cinePOS_09678
book_00311,cinePOS_05716
book_00652,cinePOS_07668
book_00093,cinePOS_00237
book_00317,cinePOS_02016
book_00028,cinePOS_00296
book_00066,cinePOS_01568
book_00747,cinePOS_00322
book_00438,cinePOS_07500
book_00695,cinePOS_06486
book_00083,cinePOS_02196
book_00712,cinePOS_05977
book_00512,cinePOS_06427
book_00218,cinePOS_04673
book_00793,cinePOS_04073
book_00038,cinePOS_06949
book_00791,cinePOS_04645
book_00349,cinePOS_09902
book_00087,cinePOS_02850
book_00076,cinePOS_05115
book_00282,cinePOS_02657
book_00796,cinePOS_05682
book_00101,cinePOS_01073
book_00112,cinePOS_05394
book_00797,cinePOS_06098
book_00774,cinePOS_07520
book_00320,cinePOS_06023
book_00151,cinePOS_00091
book_00050,cinePOS_07440
book_00155,cinePOS_05067
book_00736,cinePOS_04337
book_00206,cinePOS_00796
book_00759,cinePOS_01604
book_00090,cinePOS_01433
book_00257,cinePOS_00787
book_00456,cinePOS_01919
book_00039,cinePOS_00887
book_00819,cinePOS_00956
book_00596,cinePOS_00583
book_00032,cinePOS_00990
book_00078,cinePOS_08924
book_00067,cinePOS_01623
book_00806,cinePOS_08105
book_00037,cinePOS_11682
book_00379,cinePOS_02027
book_00107,cinePOS_07949
book_00694,cinePOS_01881
book_00310,cinePOS_08715
book_00119,cinePOS_07938
book_00034,cinePOS_02763
book_00098,cinePOS_05698
book_00214,cinePOS_01206
book_00040,cinePOS_11127
book_00360,cinePOS_03785
book_00752,cinePOS_10686
book_00406,cinePOS_02173
book_00215,cinePOS_02032
book_00113,cinePOS_00411
book_00096,cinePOS_06277
book_00762,cinePOS_03114
book_00044,cinePOS_04700
book_00015,cinePOS_10570
book_00748,cinePOS_10766
book_00210,cinePOS_01227
book_00184,cinePOS_05346
book_00120,cinePOS_11688
book_00615,cinePOS_04490
book_00108,cinePOS_04783
book_00109,cinePOS_04297
book_00033,cinePOS_03958
book_00374,cinePOS_07024
book_00377,cinePOS_03023
book_00313,cinePOS_02837
book_00099,cinePOS_00938
book_00122,cinePOS_01048
book_00366,cinePOS_04013
book_00813,cinePOS_06899
book_00373,cinePOS_07549
book_00517,cinePOS_01177
book_00046,cinePOS_08916
book_00029,cinePOS_09159
book_00375,cinePOS_04697
book_00143,cinePOS_05260
book_00053,cinePOS_02025
book_00372,cinePOS_06305
book_00701,cinePOS_00741
book_00043,cinePOS_06110
book_00085,cinePOS_01902
book_00738,cinePOS_00106
book_00307,cinePOS_03806
book_00110,cinePOS_06553
book_00579,cinePOS_03944
book_00363,cinePOS_09012
book_00042,cinePOS_02789
book_00746,cinePOS_09057
book_00625,cinePOS_05648
book_00222,cinePOS_06697
